prompt_id,judge_delta,high_gap_delta,length_delta,completion_delta,refusal_diagnostic_delta,seed,comparison
kd_199ec2bc091a07547aa118c2,-0.23908461201173203,1.0,15.0,0.0,0.0,42,knn_minus_proxy
kd_17e7c1f63b2ca1bf0ebaeb84,-0.10086382069244948,0.0,94.0,-1.0,0.0,42,knn_minus_proxy
kd_a955023c928fb3bc77dead05,-0.19425624725953206,0.0,12.0,0.0,0.0,42,knn_minus_proxy
kd_1ab792535d936d204130a63d,0.0917580591021588,0.0,-5.0,0.0,0.0,42,knn_minus_proxy
kd_b87df26623a45147b4911f14,0.044828364752199645,0.0,18.0,0.0,0.0,42,knn_minus_proxy
kd_fe5993bcd7ba344b5a136aa3,-0.30445931060869,0.0,-48.0,0.0,0.0,42,knn_minus_proxy
kd_afb3ba49f097d119e49e3fe0,-0.10033484015134679,0.0,-12.0,0.0,0.0,42,knn_minus_proxy
kd_42e0de0b60f99f460f80671c,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_8df7cc2db49186bba9541c22,-0.2904504466236275,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_31a829970bb4c83c7ab4548f,0.1597010494297117,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_55e56447b486ce90456fd651,-0.04856406181488304,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_4da3a59766f0961bed8e8004,-0.11954230600586602,0.0,-36.0,0.0,0.0,42,knn_minus_proxy
kd_2276dce93dc09df494cd3665,-0.9880918730797364,0.0,38.0,0.0,0.0,42,knn_minus_proxy
kd_dd50ae44f1aec029b28e45df,0.1923883987281907,0.0,56.0,0.0,0.0,42,knn_minus_proxy
kd_87fd2187baacc3ac73021e73,0.0028017727970124917,0.0,27.0,0.0,0.0,42,knn_minus_proxy
kd_d254ecd9d2c44b185bfdb665,0.09712812362976608,0.0,-4.0,0.0,0.0,42,knn_minus_proxy
kd_bc78fa42c32027c76c4cb54b,-0.21667042963563188,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_96899161374a07ffc3eaa0cf,0.11300483614617021,0.0,-104.0,0.0,0.0,42,knn_minus_proxy
kd_7f6a192fa9ba5ffb2c0ab1fc,-0.19238839872819058,0.0,-8.0,0.0,0.0,42,knn_minus_proxy
kd_67d59adb743926615c9faf5f,1.1356519070557272,0.0,-149.0,1.0,0.0,42,knn_minus_proxy
kd_ac40c9b5469a30d72147b730,-0.038290894892503896,0.0,-45.0,0.0,0.0,42,knn_minus_proxy
kd_3d789b2f78ffc7376d7de661,0.08965672950439951,0.0,-32.0,0.0,0.0,42,knn_minus_proxy
kd_7e56fe7174e265e41bf4afec,0.6275971065307966,0.0,-29.0,0.0,0.0,42,knn_minus_proxy
kd_da0c97d36ca33f19eb8c13b1,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_f0edfff8855a782029537abd,0.10459951775513276,0.0,-41.0,0.0,0.0,42,knn_minus_proxy
kd_52c8620ec9294e9d8434e1ec,-0.14942788250733252,0.0,-42.0,0.0,1.0,42,knn_minus_proxy
kd_2e2e27ac59ab82a2511b735f,-0.5678259535278636,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_d462b092f427cd31cae5cb8d,-0.19238839872819063,0.0,-147.0,0.0,0.0,42,knn_minus_proxy
kd_b91bbc7f3a1ede90552d52d8,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_3a3b2fddc100b32b2226ad90,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_c6ebcc27be318fae935a6101,-0.3511555238922316,0.0,87.0,0.0,0.0,42,knn_minus_proxy
kd_0b63333a947642c7b1301f73,0.2204061266983155,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_9ca9660c7b872f998d43ce37,-0.10833521481781616,0.0,-23.0,0.0,0.0,42,knn_minus_proxy
kd_2be4d3c2fd5884a54727d97f,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_5384f336b14f189793b90848,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_14dbade9267804825ba62e2f,0.5257993615726761,0.0,-64.0,0.0,0.0,42,knn_minus_proxy
kd_006d737db8deef4192483b68,0.5977115300293301,0.0,-54.0,0.0,0.0,42,knn_minus_proxy
kd_ce48f78d0523145c4b29299a,-0.6649540771576298,0.0,82.0,-1.0,0.0,42,knn_minus_proxy
kd_3f9f6c6a9ad4892e1410f832,-1.0011668127991278,0.0,-38.0,0.0,0.0,42,knn_minus_proxy
kd_3aa3a6c789c08ba74724e49e,-0.4146623739578478,0.0,-26.0,0.0,1.0,42,knn_minus_proxy
kd_51d7fdc7febe6070c3752f93,-0.11207091188049945,0.0,45.0,-1.0,0.0,42,knn_minus_proxy
kd_5a1643dcfb70ce5ea68d25f6,0.6995092749874503,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_1148daf4b1c7855fd786f047,0.32500564445344804,0.0,-55.0,0.0,1.0,42,knn_minus_proxy
kd_821e8bed368743cb8949bedb,0.029885576501466393,0.0,11.0,0.0,0.0,42,knn_minus_proxy
kd_aac1574e80ac87f8557064b8,0.59771153002933,0.0,-60.0,0.0,0.0,42,knn_minus_proxy
kd_5c554dbaea142c518dac12b0,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_7366566281309e17126c41fd,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_16fc4752242267eed1a7eb99,-0.08965672950439951,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_85beb53ccc24e26a5bc92d7a,0.12701370013123273,0.0,-135.0,1.0,0.0,42,knn_minus_proxy
kd_43347729c3d598dac52e2dff,-0.042960516220858114,0.0,-25.0,0.0,0.0,42,knn_minus_proxy
kd_5d67c0982732e57da0b176ae,0.04856406181488304,0.0,-85.0,1.0,0.0,42,knn_minus_proxy
kd_cb90121acea3cc10b1cd0bdf,0.08965672950439929,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_a6de584789832e35803199ee,-0.11393876041184109,0.0,-28.0,0.0,0.0,42,knn_minus_proxy
kd_6d6efc5947452ec5a720112a,-0.2540274002624654,0.0,-20.0,0.0,0.0,42,knn_minus_proxy
kd_0d00c76afa4987a9aff899ee,0.32500564445344815,1.0,-26.0,1.0,0.0,42,knn_minus_proxy
kd_d1a4b9346fa249ef85f6e378,0.5192618917129805,0.0,-33.0,0.0,1.0,42,knn_minus_proxy
kd_fdad39478f675422aa848a1c,-0.750875109599346,0.0,13.0,0.0,0.0,42,knn_minus_proxy
kd_05af3763f3fc7048c7fd3bd8,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_fc97ff55f1b6b027235c854e,-0.029885576501466726,0.0,91.0,0.0,0.0,42,knn_minus_proxy
kd_fc7ea53f8df2775c425532b2,-0.24468815760575702,0.0,3.0,0.0,0.0,42,knn_minus_proxy
kd_738b1cab4a2d3d3ddd4c0bc4,0.6126543182800633,0.0,-142.0,0.0,0.0,42,knn_minus_proxy
kd_8646975820c0f4c20f5b4496,-0.2764415826385651,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_0637d2ba500730c793ff2e4e,-0.15503142810135745,0.0,-30.0,0.0,0.0,42,knn_minus_proxy
kd_73e35b9b277fc64319d2d17f,0.7882320802261791,0.0,-89.0,0.0,0.0,42,knn_minus_proxy
kd_9c770ca4a5c9fb6e0e1dff93,0.6107864697487216,0.0,-94.0,0.0,0.0,42,knn_minus_proxy
kd_75f488d063803eeeb6666076,0.2390846120117319,0.0,-24.0,0.0,0.0,42,knn_minus_proxy
kd_af94251062d5e58be540de56,-1.1879516659332934,0.0,-25.0,0.0,0.0,42,knn_minus_proxy
kd_aadcfae83998198fbdcd6799,0.14195648838196573,0.0,-20.0,0.0,0.0,42,knn_minus_proxy
kd_92f53eafd9f43f45053e1dc8,0.20919903551026553,0.0,-57.0,0.0,0.0,42,knn_minus_proxy
kd_b463ef298a7278fd4e8a7698,-0.037356970626833075,0.0,20.0,0.0,1.0,42,knn_minus_proxy
kd_5f775e49ea0f06a0b64ee81e,0.5454117711517636,0.0,2.0,0.0,-1.0,42,knn_minus_proxy
kd_0a11333097835c8000a298e8,0.16437067075806577,0.0,-58.0,0.0,0.0,42,knn_minus_proxy
kd_ff12214927cffc1bc78a3f3b,-0.2297453693550237,0.0,-68.0,0.0,0.0,42,knn_minus_proxy
kd_955b68ce87e0b551b0f22cc1,0.037356970626833186,0.0,17.0,0.0,0.0,42,knn_minus_proxy
kd_00ddc07213c50dbb42a236b4,0.3735697062683313,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_3a93cb91626c91324299e6b3,-0.0742469791208309,0.0,-18.0,0.0,0.0,42,knn_minus_proxy
kd_3678c9bd88df7259ac3be8d7,1.3747365190674592,0.0,-1.0,1.0,0.0,42,knn_minus_proxy
kd_6536fbf15f66f2071646b558,0.1723090270162678,0.0,-33.0,0.0,0.0,42,knn_minus_proxy
kd_ef541e60f97b7051cfe71d83,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_8f656d90b7ba87bf9e9df386,-0.1232780030685493,0.0,-12.0,0.0,0.0,42,knn_minus_proxy
kd_30ca0cbde6249db0b42c9ca4,0.310062856202715,0.0,2.0,0.0,0.0,42,knn_minus_proxy
kd_d7079c7e3d74a15c9ce4741e,0.3081950076713733,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_39ce005bc1284f9eff126627,0.4734996026951099,0.0,23.0,0.0,0.0,42,knn_minus_proxy
kd_8668f267ac7a52bca77258b0,0.23908461201173214,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_21e05f9048486f62561d70cb,-0.044828364752199756,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_c8f73e4da8bbc74402e4457a,0.22414182376099867,0.0,4.0,0.0,0.0,42,knn_minus_proxy
kd_97455520dd0400652f19b288,-0.17931345900879925,0.0,-117.0,0.0,0.0,42,knn_minus_proxy
kd_51b5f42b31396d4dfad14080,0.11020306334915775,0.0,166.0,0.0,0.0,42,knn_minus_proxy
kd_283aa47667ab0f8f72b4f7fb,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_e5f205930c45d3a8c2690b73,0.5440108847532574,0.0,-30.0,0.0,-1.0,42,knn_minus_proxy
kd_6b5fc0131d5fa6acf679a964,0.5229975887756636,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_29d7e1c97e11797659573572,-0.044828364752199756,0.0,-7.0,0.0,0.0,42,knn_minus_proxy
kd_2b4c5db78039873bcd0c5243,-0.5304689829010305,0.0,39.0,0.0,0.0,42,knn_minus_proxy
kd_8af5e2303bb6525d507373c2,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_bd07da4570d7d8257c80f9c8,-0.4613585872413892,0.0,4.0,0.0,0.0,42,knn_minus_proxy
kd_11a0a7838ceb038b878b1384,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_337de4cac2c2b6013d965258,-0.49311201227419743,0.0,24.0,-1.0,0.0,42,knn_minus_proxy
kd_82c59f52ef83959fb4719b7f,0.532336831432372,0.0,-2.0,0.0,0.0,42,knn_minus_proxy
kd_c413db9546b13dd02b7651cc,-0.310062856202715,0.0,-131.0,1.0,1.0,42,knn_minus_proxy
kd_a34d08150abb6ab91810237c,-0.1550314281013575,0.0,-9.0,0.0,0.0,42,knn_minus_proxy
kd_03c4977c72f101e6ffa0d554,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_d94070ac7ac057dd328baf23,-0.260564870122161,0.0,-51.0,0.0,0.0,42,knn_minus_proxy
kd_0793f9bcfee6188a7909ed5d,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_37e005e20c8045235504784d,-0.2521595517311236,0.0,157.0,-1.0,0.0,42,knn_minus_proxy
kd_cce166c6ae4ade447f92df31,-1.1991587571213433,0.0,-61.0,0.0,0.0,42,knn_minus_proxy
kd_4b625e06304655df1a468cdf,0.48190492108614735,0.0,2.0,0.0,0.0,42,knn_minus_proxy
kd_5e9254e9fad91fc915dc82b3,-0.1625028222267241,0.0,-7.0,0.0,0.0,42,knn_minus_proxy
kd_236dca1fd7f3100029dee6d5,-0.17184206488343223,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_ff09ac0a847e09a7e7e89710,-0.4706978298980974,0.0,-38.0,0.0,0.0,42,knn_minus_proxy
kd_4795e2d66ea2fb9712fb73f7,-0.10086382069244942,0.0,16.0,0.0,0.0,42,knn_minus_proxy
