teacher,quantile,comparator,threshold,calibration_positive,n,positive,negative,positive_questions,negative_questions,auroc,ci95_low,ci95_high,valid_bootstraps,eligible,upper_tail
4B,,>,-0.6149472101925116,157,256,172,84,103,59,0.7450166112956811,0.6732130901598239,0.8118028987586998,2000,True,False
4B,,>,-0.3094197780778398,149,256,156,100,97,69,0.6781410256410256,0.5995333037214745,0.752831173910831,2000,True,False
4B,,>,-0.21040376820145745,145,256,155,101,96,69,0.6852123922069626,0.6035086847534693,0.7609192686685312,2000,True,False
4B,,>,0.0,145,256,155,101,96,69,0.6852123922069626,0.6035086847534693,0.7609192686685312,2000,True,False
4B,,>,0.09512366391321436,108,256,108,148,82,102,0.6283158158158159,0.5544151986758098,0.7005080485552183,2000,True,True
4B,,>,0.49966710590426855,80,256,86,170,71,113,0.6663474692202462,0.6012825953955496,0.7285358242134062,2000,True,True
4B,,>,0.8051945380189404,62,256,67,189,57,118,0.6872778962331201,0.6229952067891834,0.7492404083395017,2000,True,True
4B,,>,1.2097379800099946,20,256,27,229,26,127,0.7307132459970888,0.6624615882257804,0.7963940990521841,2000,True,True
4B,,>,1.9198088541157206,0,256,0,256,0,128,,,,0,False,False
30B,0.05,>,-2.0734862323929186,240,256,241,15,128,15,0.5214384508990318,0.3653632885445845,0.6843854570596098,2000,False,False
30B,0.1,>,-0.9588719162961383,180,256,191,65,109,46,0.8009665726943214,0.7288102088909519,0.8633493501085294,2000,True,False
30B,0.15,>,-0.9588719162961383,180,256,191,65,109,46,0.8009665726943214,0.7288102088909519,0.8633493501085294,2000,True,False
30B,0.2,>,-0.9588719162961383,180,256,191,65,109,46,0.8009665726943214,0.7288102088909519,0.8633493501085294,2000,True,False
30B,0.25,>,-0.9588719162961383,180,256,191,65,109,46,0.8009665726943214,0.7288102088909519,0.8633493501085294,2000,True,False
30B,0.3,>,-0.876227421408248,176,256,185,71,107,50,0.7866006851922345,0.717522931274178,0.8520092119042053,2000,True,False
30B,0.35,>,-0.7935829265203578,156,256,161,95,99,66,0.6898332788492971,0.6140939817053515,0.767400679305387,2000,True,False
30B,0.4,>,-0.360242510803803,152,256,158,98,98,68,0.689356755360372,0.6106831733821244,0.7680913356927678,2000,True,False
30B,0.45,>,0.23838689468853214,136,256,133,123,91,86,0.7002261751940828,0.6346137211102201,0.7679629641893672,2000,True,False
30B,0.5,>,0.3210313895764224,79,256,74,182,62,116,0.6761211761211762,0.6120935048195981,0.7388215077678574,2000,True,True
30B,0.55,>,0.3210313895764224,79,256,74,182,62,116,0.6761211761211762,0.6120935048195981,0.7388215077678574,2000,True,True
30B,0.6,>,0.3210313895764224,79,256,74,182,62,116,0.6761211761211762,0.6120935048195981,0.7388215077678574,2000,True,True
30B,0.65,>,0.3210313895764224,79,256,74,182,62,116,0.6761211761211762,0.6120935048195981,0.7388215077678574,2000,True,True
30B,0.7,>,0.8370163001808674,68,256,66,190,56,118,0.6709728867623604,0.6016667887250594,0.7370761393023914,2000,True,True
30B,0.75,>,1.4356457056732026,0,256,0,256,0,128,,,,0,False,False
30B,0.8,>,1.4356457056732026,0,256,0,256,0,128,,,,0,False,False
30B,0.85,>,1.4356457056732026,0,256,0,256,0,128,,,,0,False,False
30B,0.9,>,1.4356457056732026,0,256,0,256,0,128,,,,0,False,False
30B,0.95,>,1.4356457056732026,0,256,0,256,0,128,,,,0,False,False
30B,0.95,>=,1.4356457056732026,68,256,66,190,56,118,0.6709728867623604,0.6016667887250594,0.7370761393023914,2000,True,True
30B,,>,-3.6214409642062533,255,256,256,0,128,0,,,,0,False,False
30B,,>,-3.1054560536018085,254,256,256,0,128,0,,,,0,False,False
30B,,>,-3.022811558713918,251,256,248,8,128,8,0.32711693548387094,0.20716479610015226,0.45600074211502784,2000,False,False
30B,,>,-2.506826648109473,249,256,247,9,128,9,0.3121907332433648,0.20080321285140562,0.4359882056451613,2000,False,False
30B,,>,-2.0734862323929186,240,256,241,15,128,15,0.5214384508990318,0.3653632885445845,0.6843854570596098,2000,False,False
30B,,>,-1.9081972426171379,234,256,238,18,128,18,0.5149393090569561,0.3792320931404111,0.6542222153854567,2000,False,False
30B,,>,-1.3922123320126931,231,256,232,24,127,23,0.5183189655172413,0.40283181357649445,0.6411873647131886,2000,True,False
30B,,>,-0.9588719162961383,180,256,191,65,109,46,0.8009665726943214,0.7288102088909519,0.8633493501085294,2000,True,False
30B,,>,-0.876227421408248,176,256,185,71,107,50,0.7866006851922345,0.717522931274178,0.8520092119042053,2000,True,False
30B,,>,-0.7935829265203578,156,256,161,95,99,66,0.6898332788492971,0.6140939817053515,0.767400679305387,2000,True,False
30B,,>,-0.360242510803803,152,256,158,98,98,68,0.689356755360372,0.6106831733821244,0.7680913356927678,2000,True,False
30B,,>,-0.2775980159159128,144,256,147,109,96,77,0.6842663670972976,0.609952310441262,0.7555749502393235,2000,True,False
30B,,>,0.0,144,256,147,109,96,77,0.6842663670972976,0.609952310441262,0.7555749502393235,2000,True,False
30B,,>,0.23838689468853214,136,256,133,123,91,86,0.7002261751940828,0.6346137211102201,0.7679629641893672,2000,True,False
30B,,>,0.3210313895764224,79,256,74,182,62,116,0.6761211761211762,0.6120935048195981,0.7388215077678574,2000,True,True
30B,,>,0.8370163001808674,68,256,66,190,56,118,0.6709728867623604,0.6016667887250594,0.7370761393023914,2000,True,True
30B,,>,1.4356457056732026,0,256,0,256,0,128,,,,0,False,False
